name,ie,min,max
Замена пыльника рулевой рейки,1,800,1200
Замена рулевой рейки,1,2500,15000
Замена рулевой трапеции ,1,1500,2000
Ремонт рулевой колонки,1,2500,4000
Замена рулевого редуктора,1,2000,4000
Регулировка рулевого редуктора,1,500,800
Замена рулевой колонки,1,1500,4000
Замена рулевого демпфера,1,400,800
Замена маятникого рычага,1,800,1600
Замена рулевого наконечника,1,400,800
Замена рулевой тяги,1,800,1200
Замена рулевого кардана,1,800,3000
Замена сайлентблоков рулевой рейки,1,2800,16000
Регулировка торсионов,1,500,1000
